ZCTA5,CBSA,MEMI,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,MPOP,MHU,MAREA,MAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
01022,44140,1,2451,1209,12324269,12322151,2451,1209,12324269,12322151,692942,288536,4931427873,4775199911,100,100,100,100,.35,.42,.25,.26
01026,44140,1,946,513,62502751,62170236,946,513,62502751,62170236,692942,288536,4931427873,4775199911,100,100,100,100,.14,.18,1.27,1.3
01027,44140,1,17660,8311,106086209,104896540,17660,8311,106086209,104896540,692942,288536,4931427873,4775199911,100,100,100,100,2.55,2.88,2.15,2.2
01028,44140,1,15720,6106,33867968,33686035,15720,6106,33867968,33686035,692942,288536,4931427873,4775199911,100,100,100,100,2.27,2.12,.69,.71
01029,38340,1,789,1078,46362370,41047358,789,1078,46362370,41047358,131219,68508,2451237841,2400465435,100,100,100,100,.6,1.57,1.89,1.71
01030,44140,1,11669,4582,31206355,30736637,11669,4582,31206355,30736637,692942,288536,4931427873,4775199911,100,100,100,100,1.68,1.59,.63,.64
01031,49340,1,1308,596,20959213,20959213,1308,596,20959213,20959213,798552,326788,4090093562,3912876833,100,100,100,100,.16,.18,.51,.54
01032,44140,1,570,363,31368863,30481491,570,363,31368863,30481491,692942,288536,4931427873,4775199911,100,100,100,100,.08,.13,.64,.64
01033,44140,1,6227,2454,72735542,72068288,6227,2454,72735542,72068288,692942,288536,4931427873,4775199911,100,100,100,100,.9,.85,1.47,1.51
01034,44140,1,2021,1145,190285414,185271061,2021,1145,190285414,185271061,692942,288536,4931427873,4775199911,100,100,100,100,.29,.4,3.86,3.88
01035,44140,1,5250,2230,63731565,59791827,5250,2230,63731565,59791827,692942,288536,4931427873,4775199911,100,100,100,100,.76,.77,1.29,1.25
01036,44140,1,5109,1937,50627679,50521716,5109,1937,50627679,50521716,692942,288536,4931427873,4775199911,100,100,100,100,.74,.67,1.03,1.06
01037,49340,1,838,253,34627343,34391428,838,253,34627343,34391428,798552,326788,4090093562,3912876833,100,100,100,100,.1,.08,.85,.88
01038,44140,1,2545,1181,28139574,25893889,2545,1181,28139574,25893889,692942,288536,4931427873,4775199911,100,100,100,100,.37,.41,.57,.54
01039,44140,1,1336,640,34802255,34206722,1336,640,34802255,34206722,692942,288536,4931427873,4775199911,100,100,100,100,.19,.22,.71,.72
01040,44140,1,39880,16384,59142386,55116741,39880,16384,59142386,55116741,692942,288536,4931427873,4775199911,100,100,100,100,5.76,5.68,1.2,1.15
01050,44140,1,2530,1167,101852053,99270932,2530,1167,101852053,99270932,692942,288536,4931427873,4775199911,100,100,100,100,.37,.4,2.07,2.08
01053,44140,1,1685,636,13541792,13289904,1685,636,13541792,13289904,692942,288536,4931427873,4775199911,100,100,100,100,.24,.22,.27,.28
01054,44140,1,1851,811,59496676,59071058,1851,811,59496676,59071058,692942,288536,4931427873,4775199911,100,100,100,100,.27,.28,1.21,1.24
01056,44140,1,21103,8383,73297009,70460584,21103,8383,73297009,70460584,692942,288536,4931427873,4775199911,100,100,100,100,3.05,2.91,1.49,1.48
01057,44140,1,8534,3470,117915494,116307957,8534,3470,117915494,116307957,692942,288536,4931427873,4775199911,100,100,100,100,1.23,1.2,2.39,2.44
01060,44140,1,15284,7307,31538669,28276974,15284,7307,31538669,28276974,692942,288536,4931427873,4775199911,100,100,100,100,2.21,2.53,.64,.59
01062,44140,1,11150,4784,47415849,47018995,11150,4784,47415849,47018995,692942,288536,4931427873,4775199911,100,100,100,100,1.61,1.66,.96,.98
01063,44140,1,430,1,100502,100502,430,1,100502,100502,692942,288536,4931427873,4775199911,100,100,100,100,.06,0,0,0
01066,44140,1,64,25,1960313,1839260,64,25,1960313,1839260,692942,288536,4931427873,4775199911,100,100,100,100,.01,.01,.04,.04
01068,49340,1,1902,711,54957485,53949370,1902,711,54957485,53949370,798552,326788,4090093562,3912876833,100,100,100,100,.24,.22,1.34,1.38
01069,44140,1,8469,3779,73455520,72688936,8469,3779,73455520,72688936,692942,288536,4931427873,4775199911,100,100,100,100,1.22,1.31,1.49,1.52
01070,44140,1,629,320,53794793,53200760,629,320,53794793,53200760,692942,288536,4931427873,4775199911,100,100,100,100,.09,.11,1.09,1.11
01071,44140,1,1596,638,41152711,40349276,1596,638,41152711,40349276,692942,288536,4931427873,4775199911,100,100,100,100,.23,.22,.83,.84
01072,44140,1,1478,748,53364203,52021993,1478,748,53364203,52021993,692942,288536,4931427873,4775199911,100,100,100,100,.21,.26,1.08,1.09
